trust,months,first,last,co_monthly,entry,progression,conversion,co_monthly_ratio,entry_ratio,progression_ratio,conversion_ratio,entry_share_of_gap,progression_share_of_gap,conversion_share_of_gap
amex,92,2018-12-31,2026-07-31,0.001528701751042287,0.007383939130434783,0.47012766691939545,0.4479798872078648,0.36988180940640375,0.2901645371742271,0.9286555611129266,1.3813085639192355,1.2440602066822888,0.07442134904461015,-0.32479434678388663
chase,92,2018-12-31,2026-07-31,0.0017119565217391304,0.009015357717391304,0.4923427214865937,0.3878366511038393,0.41422179012631133,0.35427392524739193,0.9725375434251755,1.1958619189591255,1.1773761624677062,0.03159525900054923,-0.20294598148914875
citi,94,2018-12-26,2026-07-28,0.0018037097056251821,0.013027337340425531,0.5008198573724283,0.27388988334850445,0.4364222184645612,0.5119315372490784,0.9892826531828618,0.8445165781841995,0.8075358203239801,0.012995543325447303,0.20381343320756545
bofa,94,2018-12-31,2026-07-31,0.002247163120567376,0.013124349148936171,0.4958569319863089,0.3498927374996894,0.5437193752804234,0.5157437824504099,0.9794792559707627,1.078865030691005,1.0866917020568891,0.03402834517808588,-0.12458041662689234
comet,90,2018-12-31,2026-07-31,0.002490185185185185,0.015954283,0.5062702977857431,0.3130368402528762,0.6025205383753355,0.6269508809411125,1.000049051666717,0.9652229499823051,0.9215479387471623,-9.681645853284e-05,0.06986542794282126
synchrony,92,2018-12-31,2026-07-31,0.004132946557971014,0.02544742097826087,0.5062454656018873,0.32431557937843786,1.0,1.0,1.0,1.0,,,
