trust,period_end,shape_source,series,actual,predicted,residual,mix_as_of,mix_extrapolated,level_year,level_year_clamped
amex,2019-12-31,acms2018_dpd90,ccip,0.021961,0.02774393624187104,-0.0057829362418710395,,True,2019,False
amex,2020-01-31,fico_odds,ccip,0.02146,0.013994354949439944,0.007465645050560056,,True,2020,False
amex,2020-01-31,fico_fed2007,ccip,0.02146,0.013153901020645288,0.008306098979354712,,True,2020,False
amex,2020-01-31,acms2018,ccip,0.02146,0.02924361943598454,-0.007783619435984539,,True,2020,False
amex,2020-01-31,acms2018_dpd90,ccip,0.02146,0.026644588084170206,-0.005184588084170206,,True,2020,False
amex,2020-02-29,fico_odds,ccip,0.025704,0.013994354949439944,0.011709645050560057,,True,2020,False
amex,2020-02-29,fico_fed2007,ccip,0.025704,0.013153901020645288,0.012550098979354713,,True,2020,False
amex,2020-02-29,acms2018,ccip,0.025704,0.02924361943598454,-0.0035396194359845375,,True,2020,False
amex,2020-02-29,acms2018_dpd90,ccip,0.025704,0.026644588084170206,-0.0009405880841702047,,True,2020,False
amex,2020-03-31,fico_odds,ccip,0.026176,0.013994354949439944,0.012181645050560058,,True,2020,False
amex,2020-03-31,fico_fed2007,ccip,0.026176,0.013153901020645288,0.013022098979354713,,True,2020,False
amex,2020-03-31,acms2018,ccip,0.026176,0.02924361943598454,-0.0030676194359845373,,True,2020,False
amex,2020-03-31,acms2018_dpd90,ccip,0.026176,0.026644588084170206,-0.0004685880841702045,,True,2020,False
amex,2020-04-30,fico_odds,ccip,0.027324,0.013994354949439944,0.013329645050560057,,True,2020,False
amex,2020-04-30,fico_fed2007,ccip,0.027324,0.013153901020645288,0.014170098979354713,,True,2020,False
amex,2020-04-30,acms2018,ccip,0.027324,0.02924361943598454,-0.0019196194359845375,,True,2020,False
amex,2020-04-30,acms2018_dpd90,ccip,0.027324,0.026644588084170206,0.0006794119158297952,,True,2020,False
amex,2020-05-31,fico_odds,ccip,0.026975,0.013994354949439944,0.012980645050560055,,True,2020,False
amex,2020-05-31,fico_fed2007,ccip,0.026975,0.013153901020645288,0.01382109897935471,,True,2020,False
amex,2020-05-31,acms2018,ccip,0.026975,0.02924361943598454,-0.0022686194359845396,,True,2020,False
amex,2020-05-31,acms2018_dpd90,ccip,0.026975,0.026644588084170206,0.00033041191582979315,,True,2020,False
amex,2020-06-30,fico_odds,ccip,0.025244,0.013994354949439944,0.011249645050560055,,True,2020,False
amex,2020-06-30,fico_fed2007,ccip,0.025244,0.013153901020645288,0.01209009897935471,,True,2020,False
amex,2020-06-30,acms2018,ccip,0.025244,0.02924361943598454,-0.0039996194359845395,,True,2020,False
amex,2020-06-30,acms2018_dpd90,ccip,0.025244,0.026644588084170206,-0.0014005880841702067,,True,2020,False
amex,2020-07-31,fico_odds,ccip,0.026006,0.013994354949439944,0.012011645050560057,,True,2020,False
amex,2020-07-31,fico_fed2007,ccip,0.026006,0.013153901020645288,0.012852098979354713,,True,2020,False
amex,2020-07-31,acms2018,ccip,0.026006,0.02924361943598454,-0.0032376194359845373,,True,2020,False
amex,2020-07-31,acms2018_dpd90,ccip,0.026006,0.026644588084170206,-0.0006385880841702045,,True,2020,False
amex,2020-08-31,fico_odds,ccip,0.024734,0.013994354949439944,0.010739645050560055,,True,2020,False
amex,2020-08-31,fico_fed2007,ccip,0.024734,0.013153901020645288,0.01158009897935471,,True,2020,False
amex,2020-08-31,acms2018,ccip,0.024734,0.02924361943598454,-0.00450961943598454,,True,2020,False
amex,2020-08-31,acms2018_dpd90,ccip,0.024734,0.026644588084170206,-0.0019105880841702068,,True,2020,False
amex,2020-09-30,fico_odds,ccip,0.021583,0.013994354949439944,0.007588645050560058,,True,2020,False
amex,2020-09-30,fico_fed2007,ccip,0.021583,0.013153901020645288,0.008429098979354713,,True,2020,False
amex,2020-09-30,acms2018,ccip,0.021583,0.02924361943598454,-0.007660619435984537,,True,2020,False
amex,2020-09-30,acms2018_dpd90,ccip,0.021583,0.026644588084170206,-0.005061588084170204,,True,2020,False
amex,2020-10-31,fico_odds,ccip,0.022849,0.013994354949439944,0.008854645050560057,,True,2020,False
amex,2020-10-31,fico_fed2007,ccip,0.022849,0.013153901020645288,0.009695098979354713,,True,2020,False
amex,2020-10-31,acms2018,ccip,0.022849,0.02924361943598454,-0.006394619435984537,,True,2020,False
amex,2020-10-31,acms2018_dpd90,ccip,0.022849,0.026644588084170206,-0.0037955880841702046,,True,2020,False
amex,2020-11-30,fico_odds,ccip,0.022611,0.013994354949439944,0.008616645050560055,,True,2020,False
amex,2020-11-30,fico_fed2007,ccip,0.022611,0.013153901020645288,0.00945709897935471,,True,2020,False
amex,2020-11-30,acms2018,ccip,0.022611,0.02924361943598454,-0.0066326194359845395,,True,2020,False
amex,2020-11-30,acms2018_dpd90,ccip,0.022611,0.026644588084170206,-0.004033588084170207,,True,2020,False
amex,2020-12-31,fico_odds,ccip,0.019007,0.013994354949439944,0.005012645050560056,,True,2020,False
