spec,n,se_beta,mde_beta,mde_pct_per_doubling,mde_pct_over_observed_range
log(amex30+/sync30+) ~ X  [full panel],89,0.14954517203304635,0.4189635406992365,33.69667076080882,38.367079606927625
log(amexPR/syncPR)  ~ X  [full panel],89,0.08695657230110887,0.24361624600151655,18.395663986377976,20.78328519835777
log(amex30+/sync30+) ~ X  [ex Dec-2019 seasoning],85,0.13235996922235976,0.3708177308458186,29.30855539783719,33.29866089904616
log(amexPR/syncPR)  ~ X  [ex Dec-2019 seasoning],85,0.08836823631700208,0.24757114301581554,18.72067033519165,21.154108784564563
