baseline,n_base,base_mean_logratio,n_stim,pct_change_ratio_of_means,stim_mean_logratio,diff_log,se,z,p,pct_change_in_ratio,direction
clean_pre_break_2018-12..2019-11,12,-1.1867210064510303,21,13.473596057877613,-1.090999780002283,0.09572122644874725,0.11281750048865172,0.8484607976080434,0.3961813959529792,10.04522442492377,GAP COMPRESSED (priority direction)
prev_run_pre_covid_2019-01..2020-02,14,-1.1207560682100886,21,6.612892758682509,-1.090999780002283,0.029756288207805515,0.1212910931474309,0.24532954098811163,0.8062012801101601,3.02034306319352,GAP COMPRESSED (priority direction)
contaminated_post_add_2019-12..2020-03,4,-0.9244017928312278,21,-12.484036697451195,-1.090999780002283,-0.16659798717105523,0.10724862027214416,-1.553381169364339,0.12033209888948493,-15.346013717505702,GAP WIDENED (against priority)
