trust,gap_compression_vs_sync_2019_to_2020,own_level_fall_in_logs
amex,0.22739062540277266,0.0710295320076435
citi,0.21878366151970546,0.07963649589071053
chase,0.20148502704100402,0.09693513036941237
bofa,0.14022252273164165,0.15819763467877568
comet,0.03708574906697781,0.26133440834343835
