window,n,sd_X,range_X,trend_per_month,trend_over_window
pre_covid,11,0.03368402025012437,0.10415060738470672,-0.006139837287068429,-0.061398372870684295
stimulus,21,0.2396695151567119,0.7519430357412675,-0.03575446349012681,-0.7150892698025362
normalising,18,0.13691549489504504,0.37069944311117276,0.02304699770832617,0.39179896104154494
squeeze,37,0.04995613958128722,0.18153630552879818,-0.001293107832518546,-0.046551881970667654
FULL ALIGNED PANEL,89,0.22107469567698032,0.7751031611188601,,
