trust,ym,source_accession,source_file,receivables_principal,delinq_30plus_share,payment_rate
bofa,2018-12,0001128250-19-000007,ex99_1.htm,29034121756.6,0.01679904,0.1861
bofa,2020-05,0001140361-20-015938,brhc10013466_ex99-1.htm,22861825275.43,0.01462273,0.1707
citi,2019-09,0001193125-19-302272,d681201dex99.htm,37241400468.0,0.0153009,0.2696
citi,2019-10,0001193125-19-302274,d833768dex99.htm,37081955242.0,0.01593217,0.2958
comet,2019-02,0001163321-19-000015,exhibit991a2002-ccfeb2019.htm,24201932465.62,0.02160246,0.3099
