regime,amex,bofa,chase,citi,comet,synchrony
pre_covid,0.3629691428571428,0.1917357142857143,0.3511214285714286,0.2786642857142857,0.33756363636363634,0.21091507142857144
stimulus,0.40453400000000006,0.22928095238095236,0.41600476190476193,0.3084095238095238,0.42242857142857143,0.2335252857142857
normalising,0.4846325555555555,0.26543333333333335,0.4845,0.3597722222222222,0.47303888888888884,0.24599622222222223
squeeze,0.490913972972973,0.2674378378378378,0.4988702702702703,0.38023243243243243,0.4581486486486486,0.23667640540540544
FULL PANEL,0.44736225,0.24509565217391305,0.45149347826086955,0.34206847826086956,0.4350640449438202,0.2331878152173913
