spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const,sample
log(amex30+/sync30+) ~ X  [full panel],89,0.08129672526690003,0.14954517203304635,0.5436265454891125,0.5866984888660665,-0.21180642829167762,0.37439987882547765,0.01045094557766102,0.17588737549219113,-0.8872788356695561,full panel
log(amexPR/syncPR)  ~ X  [full panel],89,0.028136409944385182,0.08695657230110887,0.32356852621738386,0.7462647195124978,-0.14229534132918537,0.19856816121795573,0.0038665406789799572,0.10041229671600359,0.7724507181819985,full panel
log(amex30+/sync30+) ~ X  [ex Dec-2019 seasoning],85,0.009470863337736174,0.13235996922235976,0.07155383454211507,0.9429569805470428,-0.24994991137919698,0.2688916380546693,0.00015972036161859826,0.16594374615039617,-1.2171390706939686,ex Dec-2019 seasoning
log(amexPR/syncPR)  ~ X  [ex Dec-2019 seasoning],85,0.05948031669098611,0.08836823631700208,0.6730961165459186,0.5008861443819672,-0.11371824523383056,0.23267887861580278,0.018502695330763097,0.09593707584519581,0.9165117301346273,ex Dec-2019 seasoning
