spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const
amex - bofa,89,0.08327624713130752,0.01890901233612804,4.404050600368894,1.0624814400728155e-05,0.046215263676940656,0.12033723058567439,0.1362842398525722,0.04661272524216758,0.9672655453953587
amex - chase,89,0.040199637852730036,0.02424086798878296,1.658341519426273,0.0972485531478886,-0.00731159073403697,0.08771086643949705,0.03754538755361281,0.04525376524028272,0.1675508072769694
amex - citi,89,-0.025175370677650834,0.01607477695814075,-1.5661412126095642,0.11731556169713464,-0.05668135482363621,0.006330613468334544,0.008524781667081038,0.06036648918511827,0.16083590441262416
amex - comet,89,0.14398923690424278,0.027109852293051927,5.311325024856231,1.0883103174208486e-07,0.09085490236454355,0.19712357144394202,0.273580045099038,0.05216779135341114,0.6648535245950672
amex - synchrony,89,0.028136409944385182,0.08695657230110887,0.32356852621738386,0.7462647195124978,-0.14229534132918537,0.19856816121795573,0.0038665406789799572,0.10041229671600359,0.7724507181819985
