spec,n,beta,se,z,p,ci_lo,ci_hi,r2,sigma_resid,const,trust,corr_resid_with_sync
amex - synchrony,89,0.028136409944385182,0.08695657230110887,0.32356852621738386,0.7462647195124978,-0.14229534132918537,0.19856816121795573,0.0038665406789799572,0.10041229671600359,0.7724507181819985,amex,0.7127598924502491
bofa - synchrony,89,-0.055139837186941335,0.08919563282027446,-0.6181898759331171,0.5364501828807089,-0.22996006647189776,0.11968039209801508,0.01784036862331506,0.09096521558624415,-0.19481482721346466,bofa,0.8321583237677745
chase - synchrony,89,-0.012063227908320345,0.09672663177160702,-0.12471464877226672,0.9007494599055632,-0.20164394402192634,0.17751748820528565,0.0007578080491833505,0.09739576055473036,0.6048999109050998,chase,0.8016094142061981
citi - synchrony,89,0.0533117806220287,0.08759467482858466,0.6086189682917977,0.5427770286767115,-0.1183706286337034,0.22499418987776082,0.012414982199641655,0.10572023740296849,0.6116148137693408,citi,0.7526276360920993
comet - synchrony,89,-0.1158528269598236,0.07360833347818281,-1.573909114436912,0.11550846248157765,-0.2601225106770567,0.028416856757409487,0.11977425778822504,0.06983010092832379,0.10759719358704949,comet,0.876043758950546
