lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,360,0,0,0,0.0,,,0.0,1,64.0
americredit,380,3,0,0,0.0,0.0,0.0,0.0,4,8.0
americredit,400,5,0,1,0.0,0.0,0.0,0.0,11,18.0
americredit,420,15,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,440,82,0,1,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,460,403,5,1,0.04821947793644438,0.027320532991399363,0.0704240773783392,0.050198689463458956,734,9.0
americredit,480,1263,6,15,0.03341887646661033,0.022414612492134472,0.04703759190366456,0.03511930891812853,2295,9.0
americredit,500,2700,14,24,0.03568716681095226,0.028209940047874416,0.042515015898940675,0.03718472489859437,4581,9.0
americredit,520,3939,26,32,0.03410892798768827,0.02819368880000478,0.04099435608518547,0.03628033107393569,6542,9.0
americredit,540,5174,29,42,0.03278639640726214,0.027778169248150113,0.03777908437437021,0.03437540995989152,8393,8.0
americredit,560,5530,18,77,0.03108129770465159,0.02558056232418114,0.03697058621671551,0.032763801072686505,9225,9.0
americredit,580,5695,38,68,0.031377357960743826,0.026970407712129784,0.03649233817925516,0.034089539853069284,9357,9.0
americredit,600,5832,30,74,0.024345149731261916,0.019909237418082502,0.02823401178186996,0.026921905482123587,9532,9.0
americredit,620,9719,25,142,0.01476319420395782,0.011948887951627657,0.017305479924625725,0.01603770888053091,15169,8.0
americredit,640,1675,15,20,0.03339860162020349,0.024085628659940905,0.04307517677131169,0.0353001945064948,2643,8.0
americredit,660,1244,9,16,0.019895134714491697,0.012640504596679291,0.02774252399729305,0.022906055824551852,1872,8.0
americredit,680,574,3,7,0.02168753652369807,0.007486598649561632,0.035884301462992395,0.02642446934765308,787,7.0
americredit,700,304,1,7,0.029780565214996488,0.011347685762932422,0.04659332801469989,0.030907426548092864,408,7.0
americredit,720,171,1,9,0.026453934884084075,0.005207249859078168,0.05345233391666301,0.029038593554402636,254,9.0
americredit,740,64,1,1,0.04307956560283687,0.0,0.1046726097474916,0.04954879679144386,95,8.0
americredit,760,31,0,0,0.0,0.0,0.0,0.0,38,9.0
americredit,780,8,0,0,0.0,0.0,0.0,0.0,11,10.0
americredit,820,2,0,0,0.0,0.0,0.0,0.0,2,10.0
americredit,840,1,0,0,0.0,,,0.0,1,10.0
americredit,none,292,1,6,0.04450759222831632,0.0233840283161594,0.0771925888509989,0.04790890831874506,492,9.0
capone,700,1073,1,13,0.0008820836518569488,0.0,0.002716930922752514,0.0009319664492077884,3243,15.0
capone,720,1566,0,27,0.0010521666948408307,0.0,0.0031971413586218346,0.0010729613733905241,5158,15.0
capone,740,3890,1,50,0.0009522765713327268,0.0,0.0021250333179325116,0.0009895202710624718,8953,13.0
capone,760,4624,2,71,0.0009132724815938059,0.0002515601273789814,0.001963102988537001,0.0009626598545262599,10635,13.0
capone,780,5289,3,105,0.0005321018538161405,0.0,0.0012442462921692335,0.0005672149744753163,12681,13.0
capone,800,6042,4,132,0.0008848544245642111,0.0001575084080048066,0.001699565651766268,0.0009362744723997452,14016,13.0
capone,820,5315,1,100,0.00017359986131700202,0.0,0.0005275494500046362,0.00018814675446843232,12277,13.0
capone,840,2280,0,50,0.0022522522522522522,0.0,0.006914864981265344,0.0022522522522522292,5087,13.0
capone,860,184,0,4,0.0,0.0,0.0,0.0,417,13.0
capone,880,1,0,0,0.0,0.0,0.0,0.0,2,12.0
carmax,640,2223,3,33,0.007515667404102411,0.0044590194812679585,0.01064599147712853,0.008261032925289569,5550,4.0
carmax,660,4731,6,81,0.005584780270882614,0.004006115156487704,0.0075952840820113785,0.006116119565051981,11531,4.0
carmax,680,4981,8,86,0.004460547398123968,0.0030296584834626906,0.006150866289681913,0.00492650905543901,11983,4.0
carmax,700,5183,4,67,0.003368523413992586,0.0019070544961002176,0.004811851639133348,0.0037221649329365336,12575,4.0
carmax,720,5401,2,111,0.001685318333594714,0.0006215645090539158,0.0025171160213211885,0.0018688786073849384,13087,4.0
carmax,740,5596,2,78,0.0029625400761797444,0.0015839583788798265,0.004168595046834497,0.00328638419955829,13224,4.0
carmax,760,5878,1,94,0.0010516610418810557,0.0003909539090249141,0.0019654787101793915,0.0011348623446560957,13649,4.0
carmax,780,5803,1,97,0.0008289555533619365,0.00024413114687877227,0.0014446271322483524,0.0009120011216463553,13360,4.0
carmax,800,5713,0,103,0.00038963644610895106,0.0,0.0008894006977465136,0.00041652556273485963,13040,4.0
carmax,820,5165,0,103,0.00013713073005687222,0.0,0.0005435827780417368,0.0001465630954126107,11825,4.0
carmax,840,4129,1,64,0.0009689333209095441,0.00035565975766312465,0.0019496254674627237,0.0010700615984582384,9573,3.0
carmax,860,2100,0,36,0.00028350991380920125,0.0,0.000849292751504779,0.0003011141222523106,5096,3.0
carmax,880,308,0,5,0.0,0.0,0.0,0.0,792,3.0
carmax,900,11,0,0,0.0,0.0,0.0,0.0,22,4.5
exeter,360,4,0,0,0.0,0.0,0.0,0.0,4,3.0
exeter,380,2,0,0,0.0,0.0,0.0,0.0,7,3.0
exeter,400,26,0,0,0.0162898265779391,0.0,0.04909785353535353,0.01754385964912286,71,3.0
exeter,420,75,0,0,0.05997540654883962,0.029995982941180277,0.09764045217926247,0.0658898164206062,210,3.0
exeter,440,212,4,2,0.07550277702776044,0.049180221607949125,0.10315539336713515,0.07872609214564585,560,3.0
exeter,460,555,5,6,0.05803956182729515,0.04315466495844364,0.07548189046403093,0.06263284150444293,1290,3.0
exeter,480,1330,17,14,0.05100665147731241,0.041878716884830795,0.06088536913464369,0.05402746455886365,2700,3.0
exeter,500,2428,41,22,0.06182928747853572,0.052828403082848856,0.06943203382847772,0.06775261614984751,4747,3.0
exeter,520,4453,61,34,0.06251440235868894,0.055979678464270814,0.06827642962513193,0.06703008611040429,8250,3.0
exeter,540,7215,93,86,0.06371880250553034,0.05950712854116769,0.06876319286432866,0.06897839652794724,13033,3.0
exeter,560,9344,112,90,0.05854799001112527,0.054210887346193025,0.06286898833913174,0.06437149176118229,17323,3.0
exeter,580,9911,128,100,0.06013365911948423,0.05609264082089577,0.06344706549208683,0.06601522090396317,18302,3.0
exeter,600,9003,109,120,0.05790999576969909,0.05394257393558955,0.06143290263379523,0.06259840649991466,16863,3.0
exeter,620,9009,103,117,0.056032017271328054,0.05229913658392876,0.05943760539247305,0.06235359498606585,17442,3.0
exeter,640,5282,63,74,0.051452346365496594,0.04735313377050219,0.056682992628930014,0.05757193800735905,7440,3.0
exeter,660,3284,34,52,0.050644179644336484,0.045540143568768315,0.05769689961329721,0.05496568214087205,4535,3.0
exeter,680,2193,20,34,0.04697819469133301,0.04042755041679688,0.056914190215229976,0.05329082181007794,3060,3.0
exeter,700,1108,12,20,0.058012322172124126,0.04536266498140316,0.06962330215487866,0.06383855544493766,1617,3.0
exeter,720,603,7,8,0.05350062256921313,0.04213783039358636,0.06837128033863048,0.06058668170644399,867,3.0
exeter,740,263,2,4,0.05220284367754339,0.0271291201619423,0.07590644789255471,0.05852465419096975,383,3.0
exeter,760,127,0,1,0.054589490272711955,0.025306988451371595,0.08605074356121029,0.06894589052163447,203,3.0
exeter,780,129,0,3,0.02204890125202891,0.0052705720303266555,0.044164724729717664,0.024622819139049734,180,3.0
