spec,event,factor,level,odds_ratio,lo95,hi95,p
raw,chargeoff,age_b,0-3,0.0072020337137341005,0.0030874398124304463,0.016800097415641882,3.494142781669539e-30
raw,chargeoff,age_b,10-12,1.3642936657303841,1.2475877695115074,1.4919168429174643,9.87184961566838e-12
raw,chargeoff,age_b,13-18,1.5924022262133568,1.4367299860996543,1.7649418294199721,7.729087632417084e-19
raw,chargeoff,age_b,19-24,1.812618904423654,1.4837668901165768,2.214355445292262,5.774090279994413e-09
raw,chargeoff,age_b,25-36,2.048327419684828,1.7890174405089134,2.3452232064541474,2.9795932463153745e-25
raw,chargeoff,age_b,37-48,1.9747957869031691,1.4983082157769545,2.6028145336894113,1.365658018927136e-06
raw,chargeoff,age_b,4-6,0.21897385034388012,0.12584190995470593,0.38103003325110374,7.70077651505923e-08
raw,chargeoff,age_b,49-60,0.5122346893018948,0.1992082101390946,1.3171363607002047,0.16504366254436975
raw,chargeoff,age_b,61+,1.0113542197164054,0.6693350564943038,1.528139528647091,0.9572451784597923
raw,chargeoff,lender,americredit,0.7524705512595004,0.6388224214336097,0.8863369717708328,0.0006633887531396286
raw,chargeoff,lender,capone,0.03421895461232034,0.02896661661514484,0.04042366667523849,0.0
raw,chargeoff,lender,carmax,0.07166363994243088,0.06083136227665273,0.08442482787812668,4.1320750261475373e-218
raw,chargeoff,lender,exeter,1.4408774466867553,1.1651630542202387,1.781834575728072,0.0007501055726933624
raw,chargeoff,lender,honda,0.03954701541672275,0.03356924383840435,0.046589265933398134,0.0
raw,chargeoff,lender,toyota,0.052978923419695186,0.04504950156695752,0.06230404841523502,2.900074010510971e-276
raw,prepay,age_b,0-3,0.5796289824072299,0.5085129626384566,0.6606906449409612,3.1896954668125884e-16
raw,prepay,age_b,10-12,1.0008174612986602,0.9356563194426412,1.070516566848987,0.9810213249587485
raw,prepay,age_b,13-18,1.0370491240262034,0.9584650569677167,1.1220762591449802,0.365554243825849
raw,prepay,age_b,19-24,1.0932633557802898,0.939018719395864,1.2728444496409521,0.25051150547818346
raw,prepay,age_b,25-36,1.1579095850629997,0.9095524045669157,1.474081757630194,0.23392577753841903
raw,prepay,age_b,37-48,1.5047608108547157,0.9611797184681801,2.3557562174665274,0.07396464426387864
raw,prepay,age_b,4-6,0.874132438682538,0.7918086738081059,0.9650153447829768,0.007684905115831881
raw,prepay,age_b,49-60,2.471922371814582,1.5851498865819285,3.8547775601544743,6.548995432736691e-05
raw,prepay,age_b,61+,6.184720878813687,4.610129569855644,8.297114380243261,5.450181113506759e-34
raw,prepay,lender,americredit,0.8607615010167006,0.8039992658554235,0.9215311420020068,1.6490335429677794e-05
raw,prepay,lender,capone,1.3809230914062558,1.2363163532488453,1.5424438731784538,1.0732232561570067e-08
raw,prepay,lender,carmax,1.3374099936810264,1.2012963510824088,1.4889460786143522,1.1025277993140245e-07
raw,prepay,lender,exeter,0.729688076610004,0.601945946675932,0.8845390389071892,0.0013298355468475969
raw,prepay,lender,honda,1.1230865486413462,1.0425063352994959,1.2098951853148905,0.0022445463272222892
raw,prepay,lender,toyota,1.3214091003753488,1.1904198734075575,1.4668118783640118,1.671881413632679e-07
score,chargeoff,age_b,0-3,0.007199690463345717,0.003268880935909274,0.01585727464055605,1.7488385117799022e-34
score,chargeoff,age_b,10-12,1.371792494696745,1.2692493486795506,1.482620141159847,1.5266942753258482e-15
score,chargeoff,age_b,13-18,1.6097393928344876,1.4691166268197982,1.7638224668741622,1.8339509687778914e-24
score,chargeoff,age_b,19-24,1.8284794016449186,1.530400579938583,2.1846155614851717,2.998102834657063e-11
score,chargeoff,age_b,25-36,2.0552745269929784,1.825248453309116,2.3142895278984943,1.2414569626539657e-32
score,chargeoff,age_b,37-48,1.95493063661835,1.5327572425312188,2.493384919635235,6.645166712994914e-08
score,chargeoff,age_b,4-6,0.21831829219251603,0.13030210943484358,0.36578745280935154,7.502224180003609e-09
score,chargeoff,age_b,49-60,0.5333355242611814,0.23180674334245047,1.2270858791141077,0.13924606458469038
