lender,entry_rate,roll_rate,implied,entry_ratio,roll_ratio,total_ratio,entry_share_of_gap,roll_share_of_gap,n_loans,n_ever30
capone,0.004921125620140513,0.28129631555836276,0.0013842945053453893,0.011212359228665354,0.8997382010752678,0.010088187922209044,0.9770142558686004,0.02298574413139964,72469.0,234.0
honda,0.023093361696695423,0.21616307315956254,0.004991932033943012,0.052616227897359924,0.6914067615760645,0.0363792157368618,0.8886379121665148,0.11136208783348521,104073.0,3253.0
toyota,0.03702893662333052,0.2570027410049547,0.009516538208694695,0.08436723045172127,0.8220341720588044,0.06935274643327505,0.926561860403197,0.07343813959680302,69132.0,2467.0
carmax,0.03161424506512522,0.3301731996953044,0.01043817644910388,0.07203032390852149,1.0560729888958784,0.07606927946121055,1.021178165763643,-0.021178165763642832,135307.0,3208.0
americredit,0.4354442248549203,0.24617658448571833,0.10719617200881541,0.9921220163816283,0.7874062510643823,0.7812030775174936,0.03203132340706573,0.9679686765929343,72665.0,29087.0
santander,0.43890188672864094,0.31264240555996003,0.1372193416716474,1.0,1.0,1.0,,,185409.0,51163.0
exeter,0.47708506332689415,0.4081247033338456,0.19471019993529762,1.0869970664351705,1.3054041808655847,1.4189705151130974,0.23838631537444585,0.7616136846255541,120753.0,43024.0
