lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,400,2,0,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,3,2,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,4,3,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,5,3,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,6,3,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,7,3,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,8,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,9,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,10,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,11,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,12,5,0,1,0.0,0.0,0.0,0.0,11,18.0
americredit,400,13,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,14,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,15,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,16,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,17,4,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,18,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,19,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,20,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,21,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,22,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,23,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,24,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,25,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,26,5,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,27,6,0,0,0.0,0.0,0.0,0.0,11,18.0
americredit,400,28,6,1,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,29,5,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,30,3,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,31,2,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,32,2,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,33,2,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,34,2,0,1,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
