score_b,lender,entry_rate,roll_rate,implied,entry_ratio,roll_ratio,total_ratio,entry_share_of_gap,roll_share_of_gap,n_loans,n_ever30
460,santander,0.6219858926097315,0.23539864167920221,0.14641463426395693,1.0,1.0,1.0,,,1877.0,795.0
460,exeter,0.6345229169312492,0.332155624406705,0.21076035567366286,1.0201564448172848,1.4110345838756442,1.439476024600814,0.05478214003300231,0.9452178599669976,1290.0,581.0
480,americredit,0.6367693736971409,0.21454079409541302,0.13661300708862342,1.0001880122809979,0.8108794224275697,0.8110318777173945,-0.000897572102115165,1.0008975721021152,2295.0,1270.0
480,santander,0.6366496757394087,0.26457792387076695,0.16844344944012973,1.0,1.0,1.0,,,3610.0,1539.0
480,exeter,0.6010244712380423,0.3140983970370177,0.18878082299589022,0.9440426880607595,1.1871678197552076,1.1207370997409374,-0.5051812817080786,1.5051812817080787,2700.0,1231.0
500,americredit,0.6004642908619517,0.2450067129424401,0.14711778214340007,0.9701033965207211,0.9905131264171266,0.960900148235613,0.7610075634588015,0.23899243654119845,4581.0,2354.0
500,santander,0.6189693727653349,0.24735332264467383,0.15310413096879527,1.0,1.0,1.0,,,6818.0,2897.0
500,exeter,0.6197769985117192,0.35212410312761966,0.2182384197400672,1.0013047911284787,1.4235673059199223,1.4254247639114792,0.0036785656976490223,0.9963214343023509,4747.0,2123.0
520,americredit,0.5582541354579893,0.23381628072202276,0.13052890565047534,0.9471363017277795,0.870492199782367,0.8244747627847505,0.2813979526864606,0.7186020473135393,6542.0,3343.0
520,santander,0.5894126689470293,0.26860238469739245,0.15831764845002677,1.0,1.0,1.0,,,9979.0,3882.0
520,exeter,0.592354631880282,0.35700702660565414,0.2114747658236663,1.004991346620541,1.3291282838306087,1.3357624237983718,0.017198247826759293,0.9828017521732407,8250.0,3534.0
540,americredit,0.5607230377669962,0.24008230186207025,0.134619677614193,1.0108775854449896,0.877624998556325,0.8871714394667805,-0.09037018032309076,1.0903701803230907,8393.0,3987.0
540,santander,0.5546893568919773,0.2735590967178472,0.1517403194303729,1.0,1.0,1.0,,,14121.0,5242.0
540,exeter,0.5525010203169551,0.3851982260170784,0.21282241289871692,0.9960548430435302,1.408098764174446,1.4025435935395667,-0.011685209503871431,1.0116852095038713,13033.0,5357.0
560,americredit,0.46599257338460065,0.2476993968696974,0.1154260793731238,0.9032836771921038,0.8485741885507831,0.766503213404457,0.3825210841976798,0.6174789158023202,9225.0,4014.0
560,santander,0.5158872955981654,0.29190069673545554,0.1505878610220744,1.0,1.0,1.0,,,17945.0,6049.0
560,exeter,0.5242019235521157,0.38310403039575636,0.20082386965402368,1.0161171403616551,1.3124464404514826,1.333599323949394,0.05553894784417185,0.9444610521558282,17323.0,6813.0
580,americredit,0.4099472979637474,0.24784768787154493,0.1016044899495021,0.8577136662590442,0.7974476497009312,0.6839817472746437,0.40409489267030035,0.5959051073296996,9357.0,3676.0
580,santander,0.47795355733545736,0.31080120176477527,0.14854854000760956,1.0,1.0,1.0,,,21118.0,6560.0
580,exeter,0.4946204648010347,0.41084710417336967,0.20321338562839122,1.0348713953683988,1.3218967682252158,1.367993153066206,0.10939119388521902,0.890608806114781,18302.0,6639.0
600,americredit,0.3601831844567622,0.2459288812506781,0.08857944759875815,0.827205431218475,0.7832569726963461,0.6479144218541583,0.4371052326546474,0.5628947673453525,9532.0,3401.0
600,santander,0.435421687120951,0.3139823708227875,0.1367147336298942,1.0,1.0,1.0,,,21994.0,6415.0
600,exeter,0.4622072697117283,0.4528106618749899,0.20929237972159967,1.0615164181827648,1.442153139644128,1.5308692352660633,0.14019131971995563,0.8598086802800444,16863.0,5406.0
620,honda,0.13792696593050754,0.270300791403548,0.037281768046906395,0.3472349235278446,0.8121236994838861,0.28199771068543744,0.8356032933220086,0.16439670667799142,1400.0,200.0
620,americredit,0.29284938782577674,0.2388588274172885,0.0699496613859358,0.7372563740588148,0.7176557403670449,0.5290962689655019,0.4788357292404468,0.5211642707595532,15169.0,4339.0
620,santander,0.39721513184559404,0.3328320446445871,0.1322059244959383,1.0,1.0,1.0,,,18040.0,4830.0
620,exeter,0.3911264397535178,0.4458857325950592,0.17439769912679456,0.9846715504925854,1.3396718848727318,1.3191367920289572,-0.055770379852453915,1.055770379852454,17442.0,5048.0
640,honda,0.09799565285095273,0.19507136865580063,0.01911614612395406,0.24341567036408357,0.5822614111860508,0.14173155173098986,0.7231906542231923,0.2768093457768077,2220.0,226.0
640,carmax,0.13460418379552253,0.28027061244669815,0.037725597030259024,0.3343491948794021,0.8365695255111472,0.2797063473152955,0.8599344205287888,0.14006557947121126,5550.0,542.0
640,toyota,0.21187305394740275,0.33845564594463107,0.07170963133202986,0.5262807069323104,1.0102439091373403,0.5316718786748601,1.016133183592401,-0.01613318359240116,1672.0,299.0
640,americredit,0.326081997279321,0.2814813241367712,0.0917859923713463,0.8099692756996977,0.8401833346624289,0.6805226870314842,0.5475764711438,0.4524235288561999,2643.0,846.0
640,santander,0.40258563758191046,0.33502369366784157,0.13487572732031466,1.0,1.0,1.0,,,11184.0,2788.0
640,exeter,0.38692712764500403,0.4491947198446047,0.1738056227027752,0.9611051451538171,1.3407849305427266,1.2886352952893179,-0.15644324258204406,1.1564432425820441,7440.0,2330.0
660,honda,0.06362253510369494,0.21769012813622954,0.013849997819075113,0.1662931511948996,0.6498995419192005,0.1080738427858656,0.8063150596230816,0.19368494037691836,4163.0,299.0
660,carmax,0.09376794509474602,0.34783523149755513,0.03261579488908102,0.24508559813691028,1.0384391775090236,0.2545064869486002,1.0275635756337544,-0.02756357563375439,11531.0,807.0
660,toyota,0.14231809860193287,0.25821879098921574,0.0367492073568751,0.37198337114371594,0.7708951959172093,0.28676019377577894,0.7916892339389023,0.20831076606109766,2659.0,352.0
660,americredit,0.3094588957957842,0.29660628759589686,0.09178745424551303,0.8088469732194996,0.8854985390899166,0.7162328131331679,0.6356420402323947,0.3643579597676053,1872.0,602.0
660,santander,0.38259263623628004,0.3349596577547582,0.12815309849319506,1.0,1.0,1.0,,,7370.0,1663.0
660,exeter,0.38090900265695027,0.4738914769968833,0.1805095298705119,0.9955994093459499,1.4147717972169784,1.4085459656685317,-0.012874615382964928,1.0128746153829649,4535.0,1359.0
680,honda,0.048061510790719915,0.18947791154929294,0.009106594690529416,0.13251399690521087,0.5417602073307767,0.07179081043759693,0.7672998949483011,0.23270010505169889,6230.0,335.0
680,carmax,0.06802738132838394,0.3055980500956463,0.020789035087067108,0.18756339637495692,0.8737739487730606,0.16388800949583288,0.9253921988684487,0.07460780113155133,11983.0,611.0
680,toyota,0.09836073445468753,0.24113144842501166,0.023717866367206755,0.2711977598431939,0.6894493528271753,0.18697712001206976,0.7782270340237522,0.22177296597624785,4352.0,412.0
680,santander,0.36269006982786123,0.3497449775479827,0.1268490303288216,1.0,1.0,1.0,,,5509.0,1059.0
680,exeter,0.3165984294537173,0.4965304982702591,0.15720077592823573,0.872917280597123,1.4196930053188208,1.239274557485662,-0.6335566334537545,1.6335566334537546,3060.0,866.0
700,honda,0.041064095101720134,0.21682942226131896,0.008903904016589834,0.12801360780948204,0.6800117751710131,0.08705076069257174,0.8420305282833391,0.15796947171666076,8023.0,460.0
700,toyota,0.07163207083905984,0.2300806590600553,0.016481154068487457,0.22330651144893546,0.7215697748407269,0.16113122918667658,0.8212436406649215,0.1787563593350785,5655.0,389.0
700,carmax,0.05228983001406662,0.3418760217311791,0.0178766390622087,0.16300882255566396,1.0721779267835825,0.17477446141516464,1.0399550916594928,-0.03995509165949284,12575.0,480.0
700,santander,0.3207791406272552,0.31886127590480257,0.10228404606405268,1.0,1.0,1.0,,,4033.0,688.0
700,exeter,0.37762020184679285,0.5095215386066916,0.19240562625394733,1.1771968747979995,1.5979411020070418,1.881091271393961,0.25818714512656793,0.7418128548734322,1617.0,481.0
720,honda,0.030819833579308672,0.26981969152920254,0.008315797989350424,0.11454855479807256,0.9220333928979549,0.10561759263202415,0.9638895221546184,0.03611047784538156,8911.0,359.0
720,carmax,0.030830820165854533,0.3145332060160432,0.009697316710870303,0.11458938881515944,1.074829333168428,0.12316403636837556,1.0344573457380517,-0.0344573457380519,13087.0,306.0
720,toyota,0.052691516193091086,0.22224435395136313,0.011710391975051318,0.1958393777340186,0.7594579719694449,0.14873177664563583,0.8556104416216969,0.1443895583783031,6962.0,304.0
720,santander,0.26905475702978715,0.2926354876162978,0.0787349700188963,1.0,1.0,1.0,,,3093.0,418.0
740,honda,0.014697316871763942,0.24938092714178664,0.0036652305079771155,0.047091603724247415,0.7541749468863178,0.03551530773752582,0.9154737750267289,0.08452622497327114,9463.0,235.0
740,carmax,0.02077181284198137,0.3594197845345077,0.007465800496056064,0.06655486763492643,1.0869532005432343,0.07234202638751461,1.0317469309638974,-0.03174693096389742,13224.0,188.0
740,toyota,0.03785039774530324,0.24549221472979466,0.009291977970898117,0.12127628103680148,0.742414747297747,0.09003729953914752,0.8762852059717738,0.12371479402822619,6863.0,205.0
740,santander,0.3121005807707566,0.33066721212548794,0.10320142894621175,1.0,1.0,1.0,,,2257.0,302.0
760,honda,0.011906482990770417,0.17305248757850095,0.0020604464998639303,0.04742843422433806,0.793183158478771,0.0376194352597631,0.9293644654749602,0.0706355345250397,10812.0,187.0
760,carmax,0.013239145383892854,0.33826449168326495,0.00447833278360336,0.052736978376666854,1.550429593176682,0.08176497192990306,1.175139158310346,-0.1751391583103461,13649.0,124.0
760,toyota,0.01593434909859039,0.3043623305560728,0.004849815627541029,0.06347308678103895,1.395039609372351,0.08854747018867791,1.1373321280586057,-0.13733212805860578,6907.0,115.0
760,santander,0.25104103024890845,0.2181746873072729,0.05477079827585124,1.0,1.0,1.0,,,1627.0,157.0
780,honda,0.007655147677490921,0.1797342008216485,0.0013758918499855294,0.044271653996297324,0.764748114732738,0.03385666392976846,0.9207800030375877,0.07921999696241222,11444.0,138.0
780,carmax,0.006008629947712563,0.370579755679888,0.0022266766179941796,0.034749425777780646,1.5767737482279898,0.05479198233240151,1.1568001652355215,-0.1568001652355216,13360.0,61.0
780,toyota,0.0090003936325767,0.2908816491346123,0.0026180493427045743,0.05205155138986354,1.2376675767278391,0.06442251747361699,1.0777556209973336,-0.0777556209973335,6879.0,72.0
780,santander,0.17291307160403727,0.23502405218018946,0.04063873076330409,1.0,1.0,1.0,,,1354.0,104.0
800,honda,0.0036364079193669553,0.13868141640319062,0.0005043022008775887,0.01874636848020721,0.6942052290157825,0.01301382702401649,0.9159352236839619,0.0840647763160382,10096.0,66.0
800,santander,0.1939793258201634,0.19977005445465718,0.03875126048217173,1.0,1.0,1.0,,,1212.0,80.0
