lender,score_b,n_loans,n_ever30,entry_rate,roll_rate,implied
americredit,480.0,2295,1270,0.6367693736971409,0.21454079409541302,0.13661300708862342
americredit,500.0,4581,2354,0.6004642908619517,0.2450067129424401,0.14711778214340007
americredit,520.0,6542,3343,0.5582541354579893,0.23381628072202276,0.13052890565047534
americredit,540.0,8393,3987,0.5607230377669962,0.24008230186207025,0.134619677614193
americredit,560.0,9225,4014,0.46599257338460065,0.2476993968696974,0.1154260793731238
americredit,580.0,9357,3676,0.4099472979637474,0.24784768787154493,0.1016044899495021
americredit,600.0,9532,3401,0.3601831844567622,0.2459288812506781,0.08857944759875815
americredit,620.0,15169,4339,0.29284938782577674,0.2388588274172885,0.0699496613859358
americredit,640.0,2643,846,0.326081997279321,0.2814813241367712,0.0917859923713463
americredit,660.0,1872,602,0.3094588957957842,0.29660628759589686,0.09178745424551303
carmax,640.0,5550,542,0.13460418379552253,0.28027061244669815,0.037725597030259024
carmax,660.0,11531,807,0.09376794509474602,0.34783523149755513,0.03261579488908102
carmax,680.0,11983,611,0.06802738132838394,0.3055980500956463,0.020789035087067108
carmax,700.0,12575,480,0.05228983001406662,0.3418760217311791,0.0178766390622087
carmax,720.0,13087,306,0.030830820165854533,0.3145332060160432,0.009697316710870303
carmax,740.0,13224,188,0.02077181284198137,0.3594197845345077,0.007465800496056064
carmax,760.0,13649,124,0.013239145383892854,0.33826449168326495,0.00447833278360336
carmax,780.0,13360,61,0.006008629947712563,0.370579755679888,0.0022266766179941796
exeter,460.0,1290,581,0.6345229169312492,0.332155624406705,0.21076035567366286
exeter,480.0,2700,1231,0.6010244712380423,0.3140983970370177,0.18878082299589022
exeter,500.0,4747,2123,0.6197769985117192,0.35212410312761966,0.2182384197400672
exeter,520.0,8250,3534,0.592354631880282,0.35700702660565414,0.2114747658236663
exeter,540.0,13033,5357,0.5525010203169551,0.3851982260170784,0.21282241289871692
exeter,560.0,17323,6813,0.5242019235521157,0.38310403039575636,0.20082386965402368
exeter,580.0,18302,6639,0.4946204648010347,0.41084710417336967,0.20321338562839122
exeter,600.0,16863,5406,0.4622072697117283,0.4528106618749899,0.20929237972159967
exeter,620.0,17442,5048,0.3911264397535178,0.4458857325950592,0.17439769912679456
exeter,640.0,7440,2330,0.38692712764500403,0.4491947198446047,0.1738056227027752
exeter,660.0,4535,1359,0.38090900265695027,0.4738914769968833,0.1805095298705119
exeter,680.0,3060,866,0.3165984294537173,0.4965304982702591,0.15720077592823573
exeter,700.0,1617,481,0.37762020184679285,0.5095215386066916,0.19240562625394733
honda,620.0,1400,200,0.13792696593050754,0.270300791403548,0.037281768046906395
honda,640.0,2220,226,0.09799565285095273,0.19507136865580063,0.01911614612395406
honda,660.0,4163,299,0.06362253510369494,0.21769012813622954,0.013849997819075113
honda,680.0,6230,335,0.048061510790719915,0.18947791154929294,0.009106594690529416
honda,700.0,8023,460,0.041064095101720134,0.21682942226131896,0.008903904016589834
honda,720.0,8911,359,0.030819833579308672,0.26981969152920254,0.008315797989350424
honda,740.0,9463,235,0.014697316871763942,0.24938092714178664,0.0036652305079771155
honda,760.0,10812,187,0.011906482990770417,0.17305248757850095,0.0020604464998639303
honda,780.0,11444,138,0.007655147677490921,0.1797342008216485,0.0013758918499855294
honda,800.0,10096,66,0.0036364079193669553,0.13868141640319062,0.0005043022008775887
santander,460.0,1877,795,0.6219858926097315,0.23539864167920221,0.14641463426395693
santander,480.0,3610,1539,0.6366496757394087,0.26457792387076695,0.16844344944012973
santander,500.0,6818,2897,0.6189693727653349,0.24735332264467383,0.15310413096879527
santander,520.0,9979,3882,0.5894126689470293,0.26860238469739245,0.15831764845002677
santander,540.0,14121,5242,0.5546893568919773,0.2735590967178472,0.1517403194303729
santander,560.0,17945,6049,0.5158872955981654,0.29190069673545554,0.1505878610220744
santander,580.0,21118,6560,0.47795355733545736,0.31080120176477527,0.14854854000760956
santander,600.0,21994,6415,0.435421687120951,0.3139823708227875,0.1367147336298942
santander,620.0,18040,4830,0.39721513184559404,0.3328320446445871,0.1322059244959383
santander,640.0,11184,2788,0.40258563758191046,0.33502369366784157,0.13487572732031466
santander,660.0,7370,1663,0.38259263623628004,0.3349596577547582,0.12815309849319506
santander,680.0,5509,1059,0.36269006982786123,0.3497449775479827,0.1268490303288216
santander,700.0,4033,688,0.3207791406272552,0.31886127590480257,0.10228404606405268
santander,720.0,3093,418,0.26905475702978715,0.2926354876162978,0.0787349700188963
santander,740.0,2257,302,0.3121005807707566,0.33066721212548794,0.10320142894621175
santander,760.0,1627,157,0.25104103024890845,0.2181746873072729,0.05477079827585124
santander,780.0,1354,104,0.17291307160403727,0.23502405218018946,0.04063873076330409
santander,800.0,1212,80,0.1939793258201634,0.19977005445465718,0.03875126048217173
toyota,640.0,1672,299,0.21187305394740275,0.33845564594463107,0.07170963133202986
toyota,660.0,2659,352,0.14231809860193287,0.25821879098921574,0.0367492073568751
toyota,680.0,4352,412,0.09836073445468753,0.24113144842501166,0.023717866367206755
toyota,700.0,5655,389,0.07163207083905984,0.2300806590600553,0.016481154068487457
toyota,720.0,6962,304,0.052691516193091086,0.22224435395136313,0.011710391975051318
toyota,740.0,6863,205,0.03785039774530324,0.24549221472979466,0.009291977970898117
toyota,760.0,6907,115,0.01593434909859039,0.3043623305560728,0.004849815627541029
toyota,780.0,6879,72,0.0090003936325767,0.2908816491346123,0.0026180493427045743
