lender,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
santander,9,81526,701,1347,0.02084150604237084,0.020115772819648072,0.02180739492706948,0.022750069949934337,185409,3.0
santander,10,66646,594,1020,0.02854400976582764,0.027578293176638645,0.02953007075180825,0.03146006692574299,185409,3.0
santander,11,64469,623,1090,0.03669311066995059,0.0354784704281958,0.03774100384641719,0.040819609935643264,185409,3.0
santander,12,62104,646,1131,0.0452317731691593,0.043791619093835846,0.046502487912729415,0.05079691465001879,185409,3.0
santander,13,60182,609,1161,0.05330077353232926,0.051918812946834314,0.05474902529860973,0.060402189964533726,185409,3.0
santander,14,59054,570,972,0.060770936129654965,0.05923953527335873,0.06240365519059363,0.06947135973661045,185409,3.0
santander,15,58920,595,970,0.06838239486710303,0.06673415693196913,0.07017799995802562,0.07886824603933817,185409,3.0
santander,16,58822,591,933,0.07575413317769404,0.07390512986973674,0.07757707603080417,0.08812309739751623,185409,3.0
santander,17,58481,538,1029,0.08232903659204119,0.08047726418818275,0.08432457540621056,0.0965119719653269,185409,3.0
santander,18,57626,550,965,0.08896754371947387,0.08711640344592281,0.09083895812794934,0.10513513538841834,185409,3.0
santander,19,56418,535,929,0.09538986223431425,0.09353596598161856,0.09737774569961746,0.11362095024479746,185409,3.0
santander,20,52163,543,873,0.10225698224055796,0.10024871313170497,0.1042348072186729,0.12284787016920895,185409,3.0
santander,21,35108,349,607,0.1086367448345269,0.10642736780317685,0.11083261552219081,0.13156742392649923,185409,3.0
santander,22,17166,166,234,0.11467392605704274,0.11234006137033117,0.11684792499039336,0.13996540875862096,185409,3.0
santander,23,11144,128,169,0.12167757634820255,0.11884549085237334,0.12398297483937618,0.1498437673084143,185409,3.0
santander,24,9535,99,126,0.12783981651282042,0.12503458248145585,0.13030568744438292,0.15867076961952786,185409,3.0
santander,25,8652,91,129,0.13393487655600061,0.13075853713464586,0.13687692114001854,0.16751970165427388,185409,3.0
santander,26,7875,86,118,0.140102460690565,0.13674229805884275,0.14307731162433127,0.1766109150711288,185409,3.0
santander,27,7243,83,80,0.14640663512263608,0.14293741051802875,0.14981011302468203,0.18604641059081628,185409,3.0
santander,28,6725,72,81,0.15216399788250987,0.14855586558649084,0.15537758101850851,0.19476085794211162,185409,3.0
santander,29,6129,84,82,0.1593664157974833,0.15557769965380489,0.16297412297871372,0.2057969303736441,185409,3.0
santander,30,5768,82,67,0.16663504377411323,0.16223195855934877,0.17049070363314983,0.21708761201535032,185409,3.0
santander,31,5508,78,73,0.17368844017946,0.1695064540480416,0.1777541681537944,0.22817460661644018,185409,3.0
santander,32,5085,76,66,0.18092859696362068,0.17622093128296945,0.184920410267699,0.23971024671420826,185409,3.0
santander,33,4525,50,40,0.1861318675341508,0.18156849271811826,0.1905938737188365,0.24811123846322247,185409,3.0
santander,34,3911,48,47,0.19179626149505316,0.18705962697023754,0.19601251239357326,0.25733922633173834,185409,3.0
santander,35,3293,47,40,0.19822353390164643,0.19275243156268318,0.2029617527072296,0.2679390005079936,185409,3.0
santander,36,2809,45,25,0.20524702670289477,0.19960768386543998,0.21143328843121562,0.27966657080957424,185409,3.0
toyota,0,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,1,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,2,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,3,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,4,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,5,0,0,0,0.0,0.0,0.0,0.0,69132,13.0
toyota,6,3028,0,108,0.0,0.0,0.0,0.0,69132,13.0
toyota,7,9053,0,224,0.0,0.0,0.0,0.0,69132,13.0
toyota,8,15245,1,272,6.169053667149751e-05,0.0,0.0001860022763293079,6.559527714000701e-05,69132,13.0
toyota,9,20731,1,425,0.00010624365591541536,0.0,0.00027674485102350047,0.00011382905287316003,69132,13.0
toyota,10,25534,4,451,0.0002479607525313395,7.075101774170131e-05,0.0004401228927980167,0.00027046509437811395,69132,13.0
toyota,11,29162,8,507,0.0004917110485350951,0.00027185061834345464,0.0007545879933111456,0.0005447205048177972,69132,13.0
toyota,12,31920,11,552,0.0007925015483229063,0.0004835895954960311,0.001082929526606532,0.0008891443166738622,69132,13.0
toyota,13,34622,16,673,0.0011887556464253803,0.0008578180533933312,0.0015445418266302857,0.0013508673162386797,69132,13.0
toyota,14,36873,19,680,0.001621788820948937,0.001261091737165189,0.0019984103892840962,0.0018654534231730135,69132,13.0
toyota,15,38574,13,744,0.0018996403417685193,0.0014936756709802285,0.0023483806091542966,0.0022018393075898812,69132,13.0
toyota,16,40409,20,710,0.00229968492295794,0.00188915324842459,0.0026980957989541313,0.002695688777110239,69132,13.0
toyota,17,42264,31,778,0.0028818286351568155,0.0024135681531419905,0.003370366561028501,0.003427196292913548,69132,13.0
toyota,18,43660,24,762,0.0033097588452412697,0.0027479083208077197,0.0038526405987528898,0.00397501460003602,69132,13.0
toyota,19,44921,28,839,0.0037862604027538147,0.0032091024837349897,0.004321418040069547,0.004595853396839322,69132,13.0
toyota,20,45826,34,814,0.004342495779815465,0.0037524191085065812,0.0049218769218966315,0.005334380455376153,69132,13.0
toyota,21,46408,26,850,0.004754745458196506,0.0041635836210076205,0.005305585066020684,0.005891640111214791,69132,13.0
toyota,22,46818,36,877,0.0053098737330034024,0.004669258804300645,0.005918273985986566,0.006656044847769049,69132,13.0
toyota,23,47059,29,902,0.005746094304930432,0.005044459044799699,0.006333576553336783,0.0072681907645845145,69132,13.0
toyota,24,47047,31,957,0.00620329041681367,0.005479425108986167,0.006805966071005928,0.007922317193183592,69132,13.0
toyota,25,44887,33,928,0.006702690601412409,0.005954310964616224,0.007304254684222605,0.008651672319002324,69132,13.0
toyota,26,40404,30,769,0.00719626577643298,0.0063879051489789404,0.007826246268890936,0.009387749188382255,69132,13.0
toyota,27,35662,34,669,0.00781749988503359,0.007038602363217023,0.008471191817052182,0.010332194719412269,69132,13.0
toyota,28,31478,22,617,0.008263927371697023,0.0073888912429321526,0.008937825725278174,0.011023874359674446,69132,13.0
toyota,29,27756,13,531,0.008557026823405707,0.0076689288979695115,0.009215817556755533,0.011487078338393464,69132,13.0
toyota,30,24966,24,502,0.009146812731371374,0.008242430663589952,0.009837960413647416,0.012437343103268828,69132,13.0
toyota,31,22619,11,456,0.009438893952721952,0.00846992971730253,0.010182801460208312,0.012917611427503473,69132,13.0
toyota,32,20444,8,405,0.009669063576718609,0.008701734815318956,0.010475978307886795,0.013303869454728057,69132,13.0
toyota,33,18417,7,366,0.009888111834903568,0.00897368383924887,0.01066245431806994,0.013678896490283088,69132,13.0
