lender,n_loans,n_ever30,entry_rate,roll_rate,implied
americredit,72665,29087,0.4354442248549203,0.24617658448571833,0.10719617200881541
capone,72469,234,0.004921125620140513,0.28129631555836276,0.0013842945053453893
carmax,135307,3208,0.03161424506512522,0.3301731996953044,0.01043817644910388
exeter,120753,43024,0.47708506332689415,0.4081247033338456,0.19471019993529762
honda,104073,3253,0.023093361696695423,0.21616307315956254,0.004991932033943012
santander,185409,51163,0.43890188672864094,0.31264240555996003,0.1372193416716474
toyota,69132,2467,0.03702893662333052,0.2570027410049547,0.009516538208694695
