variant,shape,trust,level,mix_dot_shape,actual,expected,act_over_exp
proportional,fico_odds,amex,0.020735140322523132,0.5012431213825215,0.007383939130434783,0.010393346457566078,0.7104486664215328
proportional,fico_odds,bofa,0.020735140322523132,0.5440429010988894,0.013124349148936171,0.011280805895758047,1.1634230098641585
proportional,fico_odds,chase,0.020735140322523132,0.47055173248193244,0.009015357717391304,0.009756956202019235,0.9239928447691038
proportional,fico_odds,citi,0.020735140322523132,0.5561950757441818,0.013027337340425531,0.011532782942251992,1.1295918258114463
proportional,fico_odds,comet,0.020735140322523132,0.7858077387135176,0.015954283,0.01629383372874938,0.979160783496258
proportional,fico_odds,synchrony,0.020735140322523132,1.071605336226833,0.02544742097826087,0.022219887017027963,1.1452542921914735
proportional,fico_fed2007,amex,0.01944809457407415,0.5328120044005145,0.007383939130434783,0.010362178251783217,0.7125856119261496
proportional,fico_fed2007,bofa,0.01944809457407415,0.5683107896869142,0.013124349148936171,0.01105256198529787,1.1874485903263148
proportional,fico_fed2007,chase,0.01944809457407415,0.49039811984506937,0.009015357717391304,0.009537309013695058,0.945272686923087
proportional,fico_fed2007,citi,0.01944809457407415,0.5778599688612746,0.013027337340425531,0.01123827532498561,1.1591936452617753
proportional,fico_fed2007,comet,0.01944809457407415,0.8605457462923265,0.015954283,0.016735975059210383,0.9532927088834187
proportional,fico_fed2007,synchrony,0.01944809457407415,1.1764864675188398,0.02544742097826087,0.02288042008542481,1.1121920350785552
proportional,acms2018,amex,0.017383225942253874,0.7027715095880045,0.007383939130434783,0.012216435936947117,0.6044266239798272
proportional,acms2018,bofa,0.017383225942253874,0.7212405392825213,0.013124349148936171,0.012537487253061098,1.0468085736822414
proportional,acms2018,chase,0.017383225942253874,0.6914735011857185,0.009015357717391304,0.012020040104192697,0.7500272577498861
proportional,acms2018,citi,0.017383225942253874,0.725015253227395,0.013027337340425531,0.012603103958432215,1.0336610237757724
proportional,acms2018,comet,0.017383225942253874,0.7657396890125202,0.015954283,0.013311026027055856,1.1985765009828309
proportional,acms2018,synchrony,0.017383225942253874,0.8470286312184344,0.02544742097826087,0.014724090076028078,1.7282847936179893
proportional,acms2018_dpd90,amex,0.019131666238394445,0.6260271636728334,0.007383939130434783,0.01197694275155738,0.6165128517020454
proportional,acms2018_dpd90,bofa,0.019131666238394445,0.6496911340013094,0.013124349148936171,0.012429673933757053,1.055888450403553
proportional,acms2018_dpd90,chase,0.019131666238394445,0.6113230051188734,0.009015357717391304,0.011695627697786584,0.7708314551682827
proportional,acms2018_dpd90,citi,0.019131666238394445,0.6547070983601213,0.013027337340425531,0.012525637689733525,1.0400538210604013
proportional,acms2018_dpd90,comet,0.019131666238394445,0.7108709972307488,0.015954283,0.013600146657573307,1.173096393862472
proportional,acms2018_dpd90,synchrony,0.019131666238394445,0.8216003803720862,0.02544742097826087,0.015718584258616674,1.6189384845082981
straddle_to_lower_tier,fico_odds,amex,0.017791528971560205,0.8098175958942782,0.007383939130434783,0.014407893219032283,0.512492632904919
straddle_to_lower_tier,fico_odds,bofa,0.017791528971560205,0.5980697657246855,0.013124349148936171,0.010640575563904967,1.2334247400541638
straddle_to_lower_tier,fico_odds,chase,0.017791528971560205,0.5247268299664621,0.009015357717391304,0.009335692597503257,0.965687079264197
straddle_to_lower_tier,fico_odds,citi,0.017791528971560205,0.5625044073952447,0.013027337340425531,0.0100078134608028,1.3017166428460303
straddle_to_lower_tier,fico_odds,comet,0.017791528971560205,0.8421660674906837,0.015954283,0.014983421988625425,1.064795679659266
straddle_to_lower_tier,fico_odds,synchrony,0.017791528971560205,1.1144097423992547,0.02544742097826087,0.019827053218085287,1.2834696461624944
straddle_to_lower_tier,fico_fed2007,amex,0.016627343571227533,0.8413298727019753,0.007383939130434783,0.01398908085015287,0.5278359035543134
straddle_to_lower_tier,fico_fed2007,bofa,0.016627343571227533,0.609659538143148,0.013124349148936171,0.010137018602182019,1.2946951824781225
straddle_to_lower_tier,fico_fed2007,chase,0.016627343571227533,0.5219763963849817,0.009015357717391304,0.008679080878764341,1.0387456740321148
straddle_to_lower_tier,fico_fed2007,citi,0.016627343571227533,0.5953870408534577,0.013027337340425531,0.009899704886126926,1.3159318878971384
straddle_to_lower_tier,fico_fed2007,comet,0.016627343571227533,0.937519714881768,0.015954283,0.015588462404138435,1.023467394434261
straddle_to_lower_tier,fico_fed2007,synchrony,0.016627343571227533,1.3255832534892469,0.02544742097826087,0.022040928188031307,1.154553055169399
straddle_to_lower_tier,acms2018,amex,0.016437686812734255,0.8109651553343837,0.007383939130434783,0.013330391239426986,0.5539176606156524
straddle_to_lower_tier,acms2018,bofa,0.016437686812734255,0.7550670695755572,0.013124349148936171,0.012411556012292036,1.0574297965491357
straddle_to_lower_tier,acms2018,chase,0.016437686812734255,0.7269615831105423,0.009015357717391304,0.011949566828060578,0.7544505878004703
straddle_to_lower_tier,acms2018,citi,0.016437686812734255,0.7258172604840725,0.013027337340425531,0.011930756811113942,1.0919120678321164
straddle_to_lower_tier,acms2018,comet,0.016437686812734255,0.7961295561712588,0.015954283,0.013086528306704277,1.219137927652406
straddle_to_lower_tier,acms2018,synchrony,0.016437686812734255,0.8689250767634433,0.02544742097826087,0.014283118275568553,1.781643229951333
straddle_to_lower_tier,acms2018_dpd90,amex,0.017765801453223484,0.7607075542345048,0.007383939130434783,0.013514579372497447,0.5463684016286373
straddle_to_lower_tier,acms2018_dpd90,bofa,0.017765801453223484,0.6892719790229013,0.013124349148936171,0.012245469126591286,1.0717718540024228
straddle_to_lower_tier,acms2018_dpd90,chase,0.017765801453223484,0.652617969512653,0.009015357717391304,0.01159428127116765,0.7775693470375309
straddle_to_lower_tier,acms2018_dpd90,citi,0.017765801453223484,0.6557400946968674,0.013027337340425531,0.011649748327302513,1.1182505385025772
straddle_to_lower_tier,acms2018_dpd90,comet,0.017765801453223484,0.7465116649264953,0.015954283,0.013262378021599413,1.2029730244467838
straddle_to_lower_tier,acms2018_dpd90,synchrony,0.017765801453223484,0.8470797213251114,0.02544742097826087,0.015049050144113809,1.6909652592402462
straddle_to_upper_tier,fico_odds,amex,0.03388993627022962,0.35848644533998386,0.007383939130434783,0.012149082786313208,0.6077774973064887
straddle_to_upper_tier,fico_odds,bofa,0.03388993627022962,0.20259152861345311,0.013124349148936171,0.006865813993598326,1.9115503509377465
straddle_to_upper_tier,fico_odds,chase,0.03388993627022962,0.3429901526193786,0.009015357717391304,0.011623914413587072,0.7755870696065472
straddle_to_upper_tier,fico_odds,citi,0.03388993627022962,0.43686557490843164,0.013027337340425531,0.014805346492303972,0.879907629800986
straddle_to_upper_tier,fico_odds,comet,0.03388993627022962,0.3114377637716456,0.015954283,0.010554605966363897,1.5115943741380913
straddle_to_upper_tier,fico_odds,synchrony,0.03388993627022962,0.861608665878767,0.02544742097826087,0.029199862776508982,0.8714911153189762
straddle_to_upper_tier,fico_fed2007,amex,0.02938013469303987,0.3866905021927238,0.007383939130434783,0.011361019038941454,0.6499363397882986
straddle_to_upper_tier,fico_fed2007,bofa,0.02938013469303987,0.2679934273558029,0.013124349148936171,0.007873682992562884,1.666862783443634
straddle_to_upper_tier,fico_fed2007,chase,0.02938013469303987,0.4220827298551046,0.009015357717391304,0.012400847454748934,0.7269952920789177
straddle_to_upper_tier,fico_fed2007,citi,0.02938013469303987,0.47792533890891004,0.013027337340425531,0.014041510830360506,0.927773193199258
straddle_to_upper_tier,fico_fed2007,comet,0.02938013469303987,0.4009191721915236,0.015954283,0.011779059280009009,1.3544615593434552
