window,n,amex,sync,mean_ratio,ratio_of_means,diff_pp
2018-12..2019-11,9,0.009634618888888889,0.031568452222222224,0.3058359346277144,0.3051976961387647,-2.1933833333333332
2019-12..2020-03,4,0.0104888525,0.026476669999999997,0.3971083587554404,0.3961545201870175,-1.5987817499999997
2020-04..2021-12,21,0.006635677142857144,0.019139621904761903,0.3455839452951541,0.34669844450825854,-1.250394476190476
2022-01..2023-06,18,0.005486845000000001,0.02053099888888889,0.2678301316865968,0.2672468606955802,-1.5044153888888891
2023-07..2026-07,37,0.007694807027027028,0.029428576216216223,0.26155002136558503,0.2614739826518317,-2.1733769189189194
