year,amex,bofa,chase,citi,comet,synchrony
2018,0.00837279,0.01679904,0.01173574,0.01567196,0.02113751,0.03103757
2019,0.009690721666666667,0.01614793,0.011711824166666667,0.01574591,0.020126388000000002,0.030652266666666667
2020,0.009332096666666666,0.014080153076923079,0.010762813333333334,0.0147303725,0.015684195833333334,0.023084041666666666
2021,0.004933726666666667,0.010831113333333335,0.007390555833333333,0.009836359166666668,0.010591084166666667,0.017239513333333335
2022,0.005040679166666667,0.009204444166666667,0.00699708,0.008566825833333333,0.010586995,0.018838709999999998
2023,0.006867269999999999,0.012432470000000001,0.009079905000000001,0.012434148333333334,0.016078393333333333,0.026416204166666665
2024,0.008011776666666666,0.014293611666666666,0.008531249999999999,0.0146126825,0.0195699475,0.030267225
2025,0.007873188333333333,0.014038185833333335,0.008657416666666666,0.014127503333333333,0.0186257225,0.029552675833333333
2026,0.007136585714285715,0.01338224142857143,0.008586718571428571,0.013822901428571429,0.017121145714285715,0.02821678857142857
