,amex,bofa,chase,citi,comet,synchrony
pre_break_2018-12..2019-11,0.30553226173551756,0.5188691678499103,0.3761529774089793,0.5049178774703782,0.6453684851458988,1.0
post_add_pre_stim_2019-12..2020-03,0.3961545201870175,0.6015434531608395,0.43201741382130004,0.5892473449266846,0.7334213479263065,1.0
stimulus_2020-04..2021-12,0.3466984445082586,0.6238138604817941,0.4561504996640477,0.6169676536875413,0.6393179484114805,1.0
normalising_2022-01..2023-06,0.2672468606955802,0.485907353428006,0.3676945360508789,0.4622273073361857,0.5796613565211066,1.0
squeeze_2023-07..2026-07,0.2614739826518317,0.4718058836211891,0.29701816212247156,0.48016799850323827,0.6281467988845406,1.0
