trust,period_end,pct_change,recv_bn
amex,2020-03-31,-0.06826522853512051,27.003436017099997
amex,2020-04-30,-0.09588340565809439,24.414254607310003
amex,2021-01-31,-0.06089469205302789,23.347485175720003
amex,2025-01-31,-0.052034826822873526,25.474340667939998
bofa,2021-01-31,-0.09268877186385815,18.77663828681
bofa,2021-02-28,-0.07334622911266475,17.39944267306
bofa,2021-03-31,-0.06219509991866223,16.31728259748
bofa,2021-04-30,-0.05326855260165897,15.44808457112
bofa,2021-06-30,-0.052134953151149244,14.07170137384
bofa,2024-01-31,0.14389324108127366,15.91601587922
chase,2019-10-31,-0.4716829023796527,14.19941314
chase,2020-03-31,-0.05089857977179735,12.87641472463
chase,2020-04-30,-0.08042318484889865,11.840852443040001
chase,2021-01-31,-0.0662779373647292,10.9015487122
chase,2022-01-31,-0.05101613426869267,10.3020408799
chase,2022-07-31,-0.13692235556767818,9.14776480172
chase,2024-01-31,-0.05059370291073173,8.78240968367
chase,2024-02-29,0.43514032271528413,12.603990267639999
chase,2025-01-31,-0.05420097810346447,12.5798819921
chase,2026-01-31,-0.05560936835944774,11.98157754743
citi,2020-02-25,-0.15129646059640878,31.478869297
citi,2020-04-27,-0.06618445959806685,28.183717524
comet,2020-04-30,-0.07233158860905742,20.130676732610002
comet,2020-07-31,0.08940931508165861,21.752219394540003
comet,2021-01-31,-0.0548359044989436,20.41283678106
comet,2022-11-30,0.11184409923062755,23.522024241150003
comet,2023-06-30,0.07917756733758718,25.20224338853
synchrony,2019-08-31,0.10785192354403494,5.55239559242
synchrony,2019-12-31,0.38585732516349025,7.56492271394
synchrony,2020-04-30,-0.05845251098589055,6.38130746687
synchrony,2020-07-31,0.18436688246832889,7.497982627810001
synchrony,2021-01-31,-0.05904148861825842,7.01521591287
synchrony,2021-07-31,0.17575760653966954,7.86730125556
synchrony,2021-09-30,-0.1749257863527074,6.4405571971599995
synchrony,2021-10-31,0.16327684420436572,7.49215105123
synchrony,2022-01-31,-0.08939819692513662,7.058793714109999
synchrony,2022-12-31,0.13234908986508453,8.075088773220001
synchrony,2023-12-31,0.15383513495927992,8.83151701822
synchrony,2024-08-31,0.10283299187476858,9.41266933891
synchrony,2025-12-31,0.12808202232595556,11.26887648074
