regime,trust,n,d30plus,d90plus,co_monthly,roll_1->30,roll_30->60,roll_60->90,roll_90->120,roll_120->150,roll_150->180,roll_CO
pre_covid,amex,14,0.009795547142857143,0.004788475,0.001764134011741683,,0.7492417997170676,0.8456749686996773,1.66208542993404,,,0.5841165971137082
pre_covid,bofa,14,0.01611607285714286,0.008110945714285714,0.0026339285714285714,,0.6942868529814845,0.8481072427370818,0.8951598488000936,0.9990633542511393,2.027408359086666e-05,0.9658752041274381
pre_covid,chase,14,0.011671122142857144,0.005802594285714286,0.0021416666666666667,,0.6967126229927638,0.8216548397177833,0.8340278117303533,0.9141500697630959,0.002603318825222908,1.181065844928885
pre_covid,citi,16,0.015731983124999998,0.008027110625,0.00224772602739726,0.26937458876488873,0.7639577088034272,0.874587175315655,0.844738796192628,0.9462352168141691,,0.9045915939317124
pre_covid,comet,12,0.0200223375,0.010195762499999999,0.003010416666666667,,0.7255343001890282,0.8550987571783708,0.9069481709740728,0.9027333480882845,,0.9784515377384937
pre_covid,synchrony,14,0.030122189285714286,0.015239238571428572,0.004956904761904761,0.3288703875618663,0.823529669510949,0.8515284462231933,0.9108472731716726,0.8731424313419504,6.4503286004966886e-06,1.063813622961483
stimulus,amex,21,0.006635677142857142,0.0033244657142857147,0.0015565989823874756,,0.7191782595182129,0.8364335538356039,1.564090434996974,,,0.7212357469446302
stimulus,bofa,22,0.012061523636363636,0.006039076363636364,0.0022098484848484846,,0.6692557243232132,0.8196981913785786,0.8587901673088203,0.9417303741619383,8.02700417506269e-05,1.0756240910930763
stimulus,chase,21,0.008730548095238096,0.004359255714285714,0.0018265873015873017,,0.6968602588172091,0.8353264758257614,0.853875714424636,0.9435325275329525,0.0,1.2723566492484903
stimulus,citi,21,0.011808527619047618,0.005995986190476191,0.001699068493150685,0.2809748825757388,0.7155103237678366,0.850573749872469,0.8370890133687228,0.9562411331931395,,0.8328825811811595
stimulus,comet,21,0.01223630380952381,0.006295899047619048,0.0022047619047619047,,0.7098024880003316,0.8609587242718824,0.9036889635409838,0.9075022879096307,,1.0805119325109231
stimulus,synchrony,21,0.019139621904761903,0.00987683619047619,0.0034891468253968254,0.2642295366214511,0.7656283705989405,0.8638048757281462,0.8742064966778529,0.8614292694406898,0.0,1.133216568309878
normalising,amex,18,0.005486845000000001,0.002475371666666667,0.0011135376560121766,,0.7035494512067139,0.8204679284214527,1.523523671481386,,,0.7330872138717625
normalising,bofa,18,0.009976163333333335,0.004688481666666667,0.0017347222222222221,,0.6783463744769663,0.8413181440291098,0.8702644058367505,0.9630062457263525,3.088814131349658e-05,1.2075178218734202
normalising,chase,18,0.0075491361111111105,0.003583791111111111,0.0013601851851851852,,0.7162054625831855,0.8138274251574774,0.8693573466485723,0.9511476056191707,0.0,1.2440099191903533
normalising,citi,18,0.009489988333333333,0.004520457222222222,0.0011785205479452054,0.27227536987621126,0.7476202353470046,0.8434613205397828,0.8351298555588902,0.9462712950825376,,0.8943684455411892
normalising,comet,18,0.011901026666666667,0.0057285416666666665,0.0017708333333333335,,0.7346645846327032,0.8607170434082828,0.9134531428407348,0.9192526719523924,,1.0763737902131874
normalising,synchrony,18,0.020530998888888888,0.010014887777777778,0.0030803657407407407,0.2960338171256006,0.7646738082063624,0.8814253972024522,0.8839659094809353,0.8793039069461993,6.222928983747718e-05,1.1008149944326764
squeeze,amex,37,0.007694807027027026,0.0035286637837837836,0.0016137098852276935,,0.7363037483278891,0.8177562846354621,1.4435920903808335,,,0.7354430059615596
squeeze,bofa,37,0.013884575405405405,0.006985873513513514,0.0023405405405405406,,0.7205994603747732,0.8705386573485053,0.9004504590559858,0.9840892804423971,0.00030921806266923286,1.0309289082786481
squeeze,chase,37,0.008740821621621622,0.004329165135135135,0.001625900900900901,,0.7452898557963383,0.8317764813993688,0.9137918862208281,0.9634622770117534,0.00013994471403994626,1.1854325379556623
squeeze,citi,37,0.014130660540540541,0.007137055675675677,0.0019473557941503147,0.3301782698005333,0.7767758008127829,0.8721423848951315,0.848639358453669,0.9566431724663494,,0.8653177654030452
squeeze,comet,37,0.018485465945945946,0.00949607027027027,0.0027966216216216214,,0.7667861339280689,0.8776126162477343,0.923587850053184,0.9186980193439211,,0.9563176336079071
squeeze,synchrony,37,0.029428576216216216,0.015132207027027028,0.004694009009009009,0.40804509285958734,0.8096006159882828,0.9054107275771862,0.8899028966371069,0.8975770005470235,4.0195081434343945e-05,1.025474665503614
