rung,regime,amex,synchrony,ratio,diff_pp
30->60,pre_covid,0.7492417997170676,0.823529669510949,0.9097933291972382,-7.428786979388136
30->60,stimulus,0.7191782595182129,0.7656283705989405,0.9393307342511481,-4.645011108072761
30->60,normalising,0.7035494512067139,0.7646738082063624,0.9200647958074786,-6.112435699964857
30->60,squeeze,0.7363037483278891,0.8096006159882828,0.9094654003308534,-7.329686766039368
60->90,pre_covid,0.8456749686996773,0.8515284462231933,0.9931259166390998,-0.585347752351606
60->90,stimulus,0.8364335538356039,0.8638048757281462,0.968313073170061,-2.737132189254232
60->90,normalising,0.8204679284214527,0.8814253972024522,0.9308421688614013,-6.09574687809995
60->90,squeeze,0.8177562846354621,0.9054107275771862,0.90318819926479,-8.765444294172408
