year,amex,bofa,chase,citi,comet,synchrony
2018,32.15676610334,29.034121756599998,29.93845036308,40.064618633,25.89512766995,5.54513616833
2019,30.427058309254164,26.8279909102625,24.357838088331665,37.54456292621429,24.068293687462,5.4275005117675
2020,25.433729772251667,22.554664591680766,12.125832490298333,28.366304576833333,21.448170474431667,7.032027915941667
2021,23.958730360948334,15.034505894708333,10.612495401330833,24.38425217575,20.482564893795832,7.136717250064167
2022,25.625777464249165,13.720242767058334,9.746121838275,24.12270000775,21.285125108510833,7.062042387765834
2023,26.150182377125834,13.808667483015833,8.942785346378335,23.85133601725,24.42312300695583,7.691070956792499
2024,25.842781816448333,15.446980379661667,12.454151499239167,22.465931373083333,24.8008468018325,8.833009305321667
2025,25.386000114484165,14.749622550240835,12.329767023874167,20.7392734105,23.85697044569333,9.720643354049166
2026,25.039618998598574,14.30040798688857,11.82391131652,19.36668160342857,23.269251991754285,10.763424369307142
