regime,raw_ratio,fico_odds,fico_fed2007,acms2018,acms2018_dpd90
pre_covid,0.32519373176845257,0.6952301655719926,0.7180506850216285,0.39194588531644653,0.42678546430488323
stimulus,0.34669844450825626,0.7412049908472756,0.7655346067750901,0.4178648463844898,0.4550083293690081
normalising,0.2672468606955813,0.5713458196121624,0.5900999085953416,0.32210432483967155,0.350735774966284
squeeze,0.26147398265183097,0.559004010511607,0.577352986902482,0.31514645457760676,0.34315942832860735
