regime,amex_level,sync_level,ratio,log_ratio,diff_pp,amex_vs_six_mean,sync_vs_six_mean,six_mean
pre_covid,0.009795547142857143,0.030122189285714286,0.32519373176845306,-1.1233341764990037,-2.032664214285714,0.5680814590338418,1.7469016267457809,0.01724320867559524
stimulus,0.006635677142857142,0.019139621904761903,0.34669844450825843,-1.0592999128652318,-1.2503944761904762,0.5638411154488719,1.626315676866099,0.011768700367965367
normalising,0.005486845000000001,0.020530998888888888,0.2672468606955802,-1.319582475841653,-1.5044153888888887,0.506991556447114,1.8970907838824944,0.010822359722222221
squeeze,0.007694807027027026,0.029428576216216216,0.2614739826518317,-1.3414204931541103,-2.1733769189189194,0.4998526364969753,1.9116725550570708,0.015394151126126127
