premium_share,n_cards,monthly_rate_all,rate_prem,rate_other_holders,rate_nonholders,fr_effect_other,fr_effect_prem,mean_line_other_holders,mean_line_other_nonholders,scenario,seed
0.24114,569931,0.01371511054262124,0.006588496309197976,0.005930672292482579,0.01611321728811731,0.0,0.0,10901.266344196458,6368.172020566743,"free-riding off, brand zero, selection off",20260910
0.240055,569931,0.013729147329530534,0.0028517770233210445,0.002577048786619985,0.017222323560945236,0.0,0.0,12276.526182946052,5964.988030777292,"free-riding off, brand zero, selection ON",20260910
0.24114,569931,0.013426332895268608,0.0031758867601116916,0.005930672292482579,0.01611321728811731,0.0,0.0,10901.266344196458,6368.172020566743,"free-riding off, brand POSITIVE, selection off",20260910
0.240055,569931,0.013594628121649814,0.0012549207473287372,0.002577048786619985,0.017222323560945236,0.0,0.0,12276.526182946052,5964.988030777292,"free-riding off, brand POSITIVE, selection ON",20260910
0.24114,569931,0.013704436735908966,0.00648482209504852,0.005918515442939489,0.01611321728811731,-0.0012156849543089486,-0.010367421414945675,11870.077956034995,6368.172020566743,"free-riding ON, brand zero, selection off",20260910
0.240055,569931,0.013720081904651616,0.0027858199162691883,0.00255453361702447,0.017222323560945236,-0.002251516959551498,-0.006595710705185617,13367.781696372547,5964.988030777292,"free-riding ON, brand zero, selection ON",20260910
0.24114,569931,0.013421069100177624,0.0031361449780210665,0.005918515442939489,0.01611321728811731,-0.0012156849543089486,-0.003974178209062509,11870.077956034995,6368.172020566743,"free-riding ON, brand POSITIVE, selection off",20260910
0.240055,569931,0.01358907189349822,0.0012306207605201585,0.00255453361702447,0.017222323560945236,-0.002251516959551498,-0.002429998680857859,13367.781696372547,5964.988030777292,"free-riding ON, brand POSITIVE, selection ON",20260910
0.24114,569931,0.013692008330833031,0.006388059495175694,0.005891396317035674,0.01611321728811731,-0.003927597544690449,-0.020043681402228307,13323.295373792795,6368.172020566743,"free-riding ON (gamma=0.25), brand zero, selection off",20260910
0.293655,569931,0.013973913801261322,0.012543063572332612,0.010830773193031513,0.015031728126972137,0.0,0.0,8520.760772033273,7005.360293219177,"free-riding off, brand zero, selection off, cutoff 620",20260910
0.293655,569931,0.014000232776716246,0.012493402121537179,0.010995572643597809,0.015031728126972137,0.01647994505662969,-0.004966145079543455,9278.030168735808,7005.360293219177,"free-riding ON, brand zero, selection off, cutoff 620",20260910
0.293655,569931,0.01404307422009565,0.012455091859494985,0.011240855546766251,0.015031728126972137,0.04100823537347388,-0.008797171283762693,10413.934263789612,7005.360293219177,"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",20260910
0.24032,569706,0.013656312788233463,0.006661257212605415,0.005909506981490235,0.01602362665631518,0.0,0.0,10888.139536121245,6420.173281121646,"free-riding off, brand zero, selection off",20260911
0.239875,569706,0.013676352364201887,0.0029112384922702797,0.002548316532485398,0.017147948442617588,0.0,0.0,12307.477848232578,6006.043546573214,"free-riding off, brand zero, selection ON",20260911
0.24032,569706,0.013367421090878453,0.0032370034398579673,0.005909506981490235,0.01602362665631518,0.0,0.0,10888.139536121245,6420.173281121646,"free-riding off, brand POSITIVE, selection off",20260911
0.239875,569706,0.013544412966220004,0.001344450234497134,0.002548316532485398,0.017147948442617588,0.0,0.0,12307.477848232578,6006.043546573214,"free-riding off, brand POSITIVE, selection ON",20260911
0.24032,569706,0.01364782888015924,0.006584970039946738,0.005896376827904953,0.01602362665631518,-0.0013130153585282224,-0.0076287172658677325,11855.980695291006,6420.173281121646,"free-riding ON, brand zero, selection off",20260911
0.239875,569706,0.013668599827513372,0.0028591280180649643,0.002526704703485706,0.017147948442617588,-0.0021611828999691797,-0.005211047420531527,13401.627718116188,6006.043546573214,"free-riding ON, brand zero, selection ON",20260911
0.24032,569706,0.013361862668347066,0.003195392254771416,0.005896376827904953,0.01602362665631518,-0.0013130153585282224,-0.004161118508655127,11855.980695291006,6420.173281121646,"free-riding ON, brand POSITIVE, selection off",20260911
0.239875,569706,0.013539439640797183,0.0013253430606218516,0.002526704703485706,0.017147948442617588,-0.0021611828999691797,-0.0019107173875282265,13401.627718116188,6006.043546573214,"free-riding ON, brand POSITIVE, selection ON",20260911
0.24032,569706,0.013634225372385055,0.006472273080337328,0.005870116520734389,0.01602362665631518,-0.003939046075584667,-0.0188984132268087,13307.742434045644,6420.173281121646,"free-riding ON (gamma=0.25), brand zero, selection off",20260911
0.290935,569706,0.013915218258774408,0.012660330772623896,0.010812258330160087,0.014923312731522751,0.0,0.0,8573.187714494794,7040.157278137454,"free-riding off, brand zero, selection off, cutoff 620",20260911
0.290935,569706,0.013943741742817055,0.012623094505645591,0.010983304077544867,0.014923312731522751,0.01710457473847802,-0.003723626697830558,9335.342002947218,7040.157278137454,"free-riding ON, brand zero, selection off, cutoff 620",20260911
0.290935,569706,0.01398352834619962,0.012593019059240037,0.011210075136294824,0.014923312731522751,0.039781680613473765,-0.006731171338386009,10478.573435625854,7040.157278137454,"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",20260911
0.24064,570272,0.01360929521351215,0.006642010195035461,0.006065436241610738,0.015942643533667325,0.0,0.0,10925.709756155135,6423.83409168792,"free-riding off, brand zero, selection off",20260912
0.24035,570272,0.013615724893851823,0.0028170723250814786,0.0025910466294887476,0.01708302449965095,0.0,0.0,12315.393283257255,6020.094833105626,"free-riding off, brand zero, selection ON",20260912
0.24064,570272,0.013324051212988422,0.0032621343085106383,0.006065436241610738,0.015942643533667325,0.0,0.0,10925.709756155135,6423.83409168792,"free-riding off, brand POSITIVE, selection off",20260912
0.24035,570272,0.013490638385425434,0.0013331253033770196,0.0025910466294887476,0.01708302449965095,0.0,0.0,12315.393283257255,6020.094833105626,"free-riding off, brand POSITIVE, selection ON",20260912
0.24064,570272,0.013602573274975216,0.006574481937056738,0.006058911260253542,0.015942643533667325,-0.0006524981357196123,-0.006752825797872341,11897.058607799812,6423.83409168792,"free-riding ON, brand zero, selection off",20260912
0.24035,570272,0.013608126180723117,0.002768532001941613,0.002568605229594222,0.01708302449965095,-0.002244139989452542,-0.004854032313986547,13410.104648365064,6020.094833105626,"free-riding ON, brand zero, selection ON",20260912
0.24064,570272,0.013318498307240521,0.0032084580008865248,0.006058911260253542,0.015942643533667325,-0.0006524981357196123,-0.005367630762411348,11897.058607799812,6423.83409168792,"free-riding ON, brand POSITIVE, selection off",20260912
0.24035,570272,0.013485523866973421,0.0013140558907149297,0.002568605229594222,0.01708302449965095,-0.002244139989452542,-0.001906941266209001,13410.104648365064,6020.094833105626,"free-riding ON, brand POSITIVE, selection ON",20260912
0.24064,570272,0.013590298430690383,0.00648098127216312,0.006030947054436987,0.015942643533667325,-0.0034489187173750934,-0.016102892287234043,13354.081885266827,6423.83409168792,"free-riding ON (gamma=0.25), brand zero, selection off",20260912
0.29132,570272,0.013845147578699287,0.012497711565746717,0.010922693113029212,0.01482160025417889,0.0,0.0,8573.474867291523,7058.138183390568,"free-riding off, brand zero, selection off, cutoff 620",20260912
0.29132,570272,0.013871158558255242,0.012467675866172366,0.011076110386426504,0.01482160025417889,0.01534172733972906,-0.003003569957435123,9335.628503348355,7058.138183390568,"free-riding ON, brand zero, selection off, cutoff 620",20260912
0.29132,570272,0.013912951480463124,0.012449082337864433,0.011306621767058614,0.01482160025417889,0.03839286540294006,-0.004862922788228294,10478.858957433604,7058.138183390568,"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",20260912
0.239645,570358,0.013671091957448948,0.0065930856057919,0.005887722071665161,0.016041708441949066,0.0,0.0,10820.798156883351,6419.835516388558,"free-riding off, brand zero, selection off",20260913
0.23926,570358,0.013726612642118342,0.0029518097467190504,0.002648989216304707,0.0171827327292709,0.0,0.0,12293.378912249556,5985.303937187931,"free-riding off, brand zero, selection ON",20260913
0.239645,570358,0.013379754469999543,0.0031261518774298096,0.005887722071665161,0.016041708441949066,0.0,0.0,10820.798156883351,6419.835516388558,"free-riding off, brand POSITIVE, selection off",20260913
0.23926,570358,0.013588249251639614,0.0013026275460447491,0.002648989216304707,0.0171827327292709,0.0,0.0,12293.378912249556,5985.303937187931,"free-riding off, brand POSITIVE, selection ON",20260913
0.239645,570358,0.013658672856930794,0.006471377801887514,0.005873607347184583,0.016041708441949066,-0.001411472448057814,-0.012170780390438634,11782.623053839026,6419.835516388558,"free-riding ON, brand zero, selection off",20260913
0.23926,570358,0.013718430646482852,0.0028873749616874253,0.0026311540656633924,0.0171827327292709,-0.001783515064131447,-0.006443478503162529,13386.176283188888,5985.303937187931,"free-riding ON, brand zero, selection ON",20260913
0.239645,570358,0.01337303354501325,0.0030722527071292954,0.005873607347184583,0.016041708441949066,-0.001411472448057814,-0.0053899170300513955,11782.623053839026,6419.835516388558,"free-riding ON, brand POSITIVE, selection off",20260913
0.23926,570358,0.013582843290237593,0.0012712808938672017,0.0026311540656633924,0.0171827327292709,-0.001783515064131447,-0.0031346652177547435,13386.176283188888,5985.303937187931,"free-riding ON, brand POSITIVE, selection ON",20260913
0.239645,570358,0.013641432223270297,0.006325328437202251,0.005841613971695273,0.016041708441949066,-0.004610809996988859,-0.026775716858964998,13225.360399272535,6419.835516388558,"free-riding ON (gamma=0.25), brand zero, selection off",20260913
0.29165,570358,0.013906178224904359,0.012373564203668782,0.010718411574648949,0.014978652888376381,0.0,0.0,8472.44389227617,7048.486955236986,"free-riding off, brand zero, selection off, cutoff 620",20260913
0.29165,570358,0.013924587715084211,0.012287845019715412,0.010862044467508077,0.014978652888376381,0.014363289285912857,-0.008571918395336877,9225.5749787413,7048.486955236986,"free-riding ON, brand zero, selection off, cutoff 620",20260913
0.29165,570358,0.01396009173185964,0.012243556774672839,0.011073632707526364,0.014978652888376381,0.03552211328774147,-0.013000742899594263,10355.271608438998,7048.486955236986,"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",20260913
0.239525,569594,0.013680358290290979,0.006620742441637964,0.005846266383119919,0.01605929122863704,0.0,0.0,10831.44751308184,6427.353913933342,"free-riding off, brand zero, selection off",20260914
0.24033,569594,0.013709618898139143,0.0028849221209725517,0.002569419401370357,0.017195904730216826,0.0,0.0,12244.416963002848,6007.099118323751,"free-riding off, brand zero, selection ON",20260914
0.239525,569594,0.013387898514848588,0.003143374038896427,0.005846266383119919,0.01605929122863704,0.0,0.0,10831.44751308184,6427.353913933342,"free-riding off, brand POSITIVE, selection off",20260914
0.24033,569594,0.013577360950665444,0.0013176326994826558,0.002569419401370357,0.017195904730216826,0.0,0.0,12244.416963002848,6007.099118323751,"free-riding off, brand POSITIVE, selection ON",20260914
0.239525,569594,0.013670263380583364,0.006542462512611766,0.005823642972414521,0.01605929122863704,-0.0022623410705397947,-0.00782799290261977,11794.420144645155,6427.353913933342,"free-riding ON, brand zero, selection off",20260914
0.24033,569594,0.01370201114009862,0.0028450463945408396,0.0025421850583002767,0.017195904730216826,-0.002723434307008054,-0.003987572643171195,13332.823991680472,6007.099118323751,"free-riding ON, brand zero, selection ON",20260914
0.239525,569594,0.01338277790847516,0.0031242389451344673,0.005823642972414521,0.01605929122863704,-0.0022623410705397947,-0.0019135093761959434,11794.420144645155,6427.353913933342,"free-riding ON, brand POSITIVE, selection off",20260914
0.24033,569594,0.013571508829095812,0.0012985616998848805,0.0025421850583002767,0.017195904730216826,-0.002723434307008054,-0.0019070999597775283,13332.823991680472,6007.099118323751,"free-riding ON, brand POSITIVE, selection ON",20260914
0.239525,569594,0.013659436955679543,0.006471140799499008,0.005792535782694599,0.01605929122863704,-0.0053730600425320124,-0.014960164213895559,13238.879091990128,6427.353913933342,"free-riding ON (gamma=0.25), brand zero, selection off",20260914
0.29164,569594,0.013929366063078848,0.012638298358707082,0.010789708943889182,0.01495443719966593,0.0,0.0,8482.712991995286,7058.168239864288,"free-riding off, brand zero, selection off, cutoff 620",20260914
0.29164,569594,0.013955700610142195,0.01259400859507155,0.01095288473138636,0.01495443719966593,0.01631757874971773,-0.004428976363553239,9236.884307919961,7058.168239864288,"free-riding ON, brand zero, selection off, cutoff 620",20260914
0.29164,569594,0.013998713703678995,0.012598294701229827,0.011177928116038864,0.01495443719966593,0.03882191721496824,-0.004000365747725506,10368.141281806973,7058.168239864288,"free-riding ON (gamma=0.25), brand zero, selection off, cutoff 620",20260914
